char,dialog,movie
"
FRODO VOICE OVER:","
    My dear Sam, you cannot always be torn in two. , You will 
    have to be one and whole for many years. You have so much to enjoy and to be 
    and to do. Your part in the story will go on. ,
 ",The Return of the King Movie Script
"
SAM:","
    Well, I�m back.,
 ",The Return of the King Movie Script
"
PIPPIN:","
     I didn�t think it would end this way.  ,
 ",The Return of the King Movie Script
"
GANDALF:","
  End?  No, the journey doesn�t end here.  Death is just another path, one that we all must take.
    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.,
     ",The Return of the King Movie Script
"
PIPPIN:","
  What?  Gandalf?  See what?,
     ",The Return of the King Movie Script
"
GANDALF:","
  White shores and beyond,  a far green country under a swift sunrise. ,
     ",The Return of the King Movie Script
"
PIPPIN: ","
  Well, , that�s not  so bad.,
     ",The Return of the King Movie Script
"
GANDALF: ","
  No.  No it isn�t.,
     ",The Return of the King Movie Script
"
THEODEN: ","
  Rally to me!  To meeee! ,
     ",The Return of the King Movie Script
"
WITCH KING:","
     Feast on his flesh.,
     ",The Return of the King Movie Script
"
EOWYN:","
     I will kill you if you touch him.,
     ",The Return of the King Movie Script
"
EOWYN:","
     The City has fallen silent.  There is no warmth left in the sun.,
       ",The Return of the King Movie Script
"
EOWYN:","
  It grows so cold.,
     ",The Return of the King Movie Script
"
FARAMIR:","
  It�s just the damp of the first spring rain. ,
     ",The Return of the King Movie Script
"
FARAMIR:","
  I do not believe this darkness will endure. ,
     ",The Return of the King Movie Script
"
SAM:","
  Look!  The Orcs, they�re moving off! ,
     ",The Return of the King Movie Script
SARUMAN:,Get down cur! ,The Return of the King Movie Script
GRIMA:,"Ah! ,
 ",The Return of the King Movie Script
GANDALF: ,"Saruman! You were deep in the enemy�s counsel. Tell us what you 
know! ,
 ",The Return of the King Movie Script
SARUMAN:,"You withdraw your guard and I will tell you where your doom will be 
    decided. I will not be held prisoner here! ,
 ",The Return of the King Movie Script
GANDALF:,"Send word to all our allies and to every corner of Middle Earth that 
    still stands free. The enemy moves against us. We need to know where he will 
    strike. ,
 ",The Return of the King Movie Script
TREEBEARD: ,"The filth of Saruman is washing away. Trees will come back to live 
here. ,Young trees. Wild trees. ,
 ",The Return of the King Movie Script
ARAGORN:,Pippin! ,The Return of the King Movie Script
TREEBEARD:,"Bless my bark! ,
 ",The Return of the King Movie Script
GANDALF:,"Peregrin Took. I�ll take that my lad! Quickly now! ,
 ",The Return of the King Movie Script
"
WITCH KING:","
  Do not come between the Nazg�l and his prey.,
     ",The Return of the King Movie Script
"
ORC: ","
  Late as usual, pirate scum. ,  There�s knifework here needs doing. Come on you sea rats, get off your ships. ,
     ",The Return of the King Movie Script
"
GIMLI: ","
  There�s plenty for the both of us, may be best Dwarf win! ,
     ",The Return of the King Movie Script
"
WITCH KING:","
  You fool!  No man can kill me.  Die now!,
    ",The Return of the King Movie Script
"
EOWYN:","
  I am no man! ,
     ",The Return of the King Movie Script
"
SAM:","
  You see Mr Frodo some luck at last!,
     ",The Return of the King Movie Script
"
ORC: ","
  Move it, you slugs! ,
     ",The Return of the King Movie Script
"
ORC:","
  Come on!  Faster! ,
     ",The Return of the King Movie Script
"
ORC:","
  Come along you scum! ,  I�ll whip you down to the bone!  Come on!  What have I told you.
    ,  Get up!
    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it! ,
     ",The Return of the King Movie Script
"
ORC: ","
  To the gate you slugs, now move it! ,  Don�t you know we�re at war? ,
     ",The Return of the King Movie Script
"
ORC: ","
  Company halt!  Inspection! ,
     ",The Return of the King Movie Script
"
FRODO: ","
  Sam!  Help me! ,
     ",The Return of the King Movie Script
"
SAM:","
  Mr Frodo! ,
     ",The Return of the King Movie Script
"
SAM:","
  Stand up Mr Frodo.  Stand up!,
     ",The Return of the King Movie Script
"
FRODO:","
  It�s so heavy! ,
     ",The Return of the King Movie Script
"
SAM:","
  Oh no!  What do I do? ,  What do I do? ,
     ",The Return of the King Movie Script
"
FRODO:","
 Hit me!  Hit me Sam!  Start fighting! ,
     ",The Return of the King Movie Script
"
SAM: ","
  Get off of me! ,  Nobody pushes me you filthy maggot!
    ,  Get off of me! ,
     ",The Return of the King Movie Script
 GANDALF:,"
      Retreat! The city is breached. Fall back to the second level. Get the 
    women and children out. Get them out. Retreat. ,
 ",The Return of the King Movie Script
SOLDIERS ON GATE:,"
    Come on, come on! ,
 ",The Return of the King Movie Script
GOTHMOG:,"
    Move into the city. Kill all in your path. ,
 ",The Return of the King Movie Script
"
ORC:","
  Break it up!  Break it up!,
     ",The Return of the King Movie Script
"
GENERAL:","
  Oy!  I�ll have your guts if you don�t shut this rabble down! ,
     ",The Return of the King Movie Script
"
FRODO: ","
     Go Sam.  Now! ,
     ",The Return of the King Movie Script
"
GENERAL:","
  Move along scum! ,
     ",The Return of the King Movie Script
"
CAPTAIN:","
  Get back in the line you maggots!  Get back in the line you slugs! ,
     ",The Return of the King Movie Script
"
FRODO:","
  I can�t!  I can�t� I can�t manage the Ring Sam.  It�s� it�s� such a weight to carry.  It�s such a weight.
    ,
     ",The Return of the King Movie Script
SOLDIER: ,"
    Take them down! ,
 ",The Return of the King Movie Script
GANDALF:,"
    Fight! Fight to the last man. Fight for your lives. ,
 ",The Return of the King Movie Script
PIPPIN: ,"
    Gandalf! , 
    Gandalf! Denethor 
has lost his mind. He�s burning Faramir alive! ,
 ",The Return of the King Movie Script
GANDALF:,"
    Up! Quickly! ,
 ",The Return of the King Movie Script
GANDALF: ,"
    , 
    Go back to the abyss! Fall into the nothingness that awaits you and your 
    master! ,
 ",The Return of the King Movie Script
WITCH KING:,"
    Do you not know death when you see it, old man? , This is my hour!
    ,
 ",The Return of the King Movie Script
PIPPIN: ,"
     Gandalf! ,
 ",The Return of the King Movie Script
PIPPIN:  ,"
    AAAAhhh! , ,
 ",The Return of the King Movie Script
WITCH KING: ,"
    You have failed! The world of men will fall. ,
 ",The Return of the King Movie Script
"
SAM:","
    ,  We�re going that way, straight as we can.  There�s no point carrying anything we�re not sure to need. ,
     ",The Return of the King Movie Script
"
SAM:","
  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch. ,
     ",The Return of the King Movie Script
"
SAM:","
  Take mine. ,  There�s a few drops left. ,
     ",The Return of the King Movie Script
"
FRODO:","
  There will be none left for the return journey. ,
     ",The Return of the King Movie Script
"
SAM: ","
  I don�t think there will be a return journey Mr Frodo. ,
     ",The Return of the King Movie Script
"
SAM:","
  Frodo, get down! ,  Hide! ,
     ",The Return of the King Movie Script
"
SAM:","
     Frodo! ,
     ",The Return of the King Movie Script
"
PIPPIN:","
  Where are they?,
     ",The Return of the King Movie Script
