char,dialog
EOWYN: ,"Why are you doing this?  The war lies to the East.  You cannot leave on 
    the eve of battle.  You cannot abandon the men.  ,
 "
ARAGORN:,"Eowyn�,
 "
EOWYN: ,"We need you here.  ,
 "
ARAGORN:,"Why have you come?,
 "
EOWYN: ,"Do you not know?,
 "
ARAGORN:,"It is but a shadow and a thought that you love.  I cannot give you what 
    you seek. ,
 "
ARAGORN:," I have wished you joy since first I saw you. ,
 "
GIMLI: ," Just where do you 
    think you�re off to?,
 "
ARAGORN: ,"Not this time.  This time you must stay Gimli. ,
 "
ARAGORN:,"You have some skill with a blade.,
 "
EOWYN:,"Women of this country learned long ago:
Those without swords
can still die upon them.
I fear neither death nor pain.,
 "
ARAGORN:,"What do you fear, my lady?,
 "
EOWYN:,"A cage.
To stay behind bars until use
and old age accept them.
And all chance of valor has gone
beyond recall or desire.,
 "
ARAGORN:," ,
You're a daughter of kings......a shieldmaiden of Rohan.
I do not think that would be your fate. ,
 "
GRIMA:,"Theoden will not stay at Edoras.
It's vulnerable. He knows this.,He will expect an attack on the city.,They will flee to Helm's Deep......the great fortress of Rohan.,It is a dangerous road to take
through the mountains.,They will be slow.,They will have women and children
with them. ,
 "
SARUMAN:,"Send out your Warg-riders.,
 "
SAM:,"Hey, stinker, don't go getting
too far ahead.,
 "
SAM: ,"Call me�,
 "
FRODO: ,"Stop it!  ,
 "
SAM: ," I�ll kill him!,
 "
FRODO:," Sam, no!  ,
 "
SAM: ," Oh my!   I�m sorry.  I didn�t mean it to go so far.  I was just 
    so, so angry!  Here just� let�s just rest a bit.,
 "
FRODO: ," I�m all right.  ,
 "
SAM:,"No.  No you�re not all right, you�re exhausted.  It�s that Gollum.  It�s 
    this place.  It�s that thing around your neck.  , I could help a bit.  I could carry it for 
    a while ,, 
    carry it for a while ,  
    I could carry it� I could carry it� Share the load� share the load� share 
    the load ,
 "
FRODO:,"Get away!,
 "
SAM:,"I don�t want to keep it.  , I just want to help.  ,
 "
GOLLUM: ,"See?  See?  He wants it for himself.  ,
 "
SAM:,"Shut up you!  ,  Go away!  Get 
    out of here!,
 "
FARAMIR: ,"In Ithilien.  Not two days ago.  Gandalf, they�re taking the road to the 
    Morgul vale.  ,
 "
GANDALF:,"And then the pass of Cirith Ungol.,
 "
PIPPIN: ,"What does that mean? What�s wrong?  He looks at Gandalf.,
 "
GANDALF:,"Faramir tell me everything.  Tell me all you know.  ,
 "
DENETHOR: ," This is how you would serve your city?  You would risk its utter 
    ruin?  ,
 "
FARAMIR: ,"I did what I judged to be right.,
 "
DENETHOR: ,"What you judged to be right!  You sent the Ring of power into Mordor in 
    the hands of a witless Halfling!  It should have been brought back to the 
    citadel to be kept safe. Hidden.  Dark and deep in the vaults� not to be 
    used.  ,  
    unless, at the uttermost end of need.,
 "
FARAMIR: ,"I would not use the Ring.  Not if Minas Tirith were falling in ruin and 
    I alone could save her. ,
 "
DENETHOR:,"Ever you desire to appear lordly and gracious as a King of old.   
    Boromir would have remembered his father�s need.   He would have brought me 
    a kingly gift,
 "
FARAMIR: ," Boromir would not have brought the Ring.   He would have stretched 
    out his hand to this thing and taking it he would have fallen.  ,
 "
DENETHOR: ,"You know nothing of this matter!,
 "
FARAMIR: ,"He would have kept it for his own.  And when he returned you would not 
    have known your son. ,
 "
DENETHOR: ,"  
    Boromir was loyal to me!   Not some wizard�s pupil.,
 "
FARAMIR: ,Father?  
DENETHOR:,"My son!  ,  Leave me!  "
SOLDIER:,"Hold!  Hold them!  ,
 "
SOLDIER: ,"What?  ,
 "
GANDALF: ," Amon D�n.,
 "
SOLDIER:,"The beacon!  The beacon of Amon D�n is lit.  ,
 "
GANDALF:  ,"Hope is kindled!  ,
 "
ARAGORN:,"The beacons of Minas Tirith!  The beacons are lit!  ,
 "
ARAGORN:,"Gondor calls for aid.,
 "
THEODEN:,"And Rohan will answer!  Muster the Rohirrim.  ,  ,
    Assemble the army at Dunharrow,  as many men as can be found.  You have two 
    days. ,  On the third, we ride for Gondor� and 
    war. ,
 "
EOMER:," Forward!  ,
 "
SOLDIER: ,"Very good sir.,
 "
THEODEN: ," Gamling.  ,
 "
GAMLING:,"My lord!,
 "
THEODEN:,"Make haste across the Riddermark.  Summon every able-bodied man to 
    Dunharrow.  ,
 "
GAMLING:,"I will.  ,
 "
ARAGORN:,"Do you ride with us?,
 "
DENETHOR: ,"My sons are spent! , 
    My line has ended! ,
 "
PIPPIN:,"He�s alive! ,
 "
DENETHOR:," The 
    house of Stewards has failed. ,
 "
PIPPIN:,"He needs medicine my lord! ,
 "
DENETHOR:,"My line has ended! ,
 "
PIPPIN: ,"My lord!,
 "
DENETHOR:,"Rohan has deserted us! ,
 "
DENETHOR:,"Theoden�s betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES! "
GANDALF:,"Prepare for battle. Hurry men! To the wall! Defend the wall! Over here! 
    Return to your posts.,
 "
GANDALF:,"Send these foul beasts into the Abyss. ,
 "
GOTHMOG:,Stay where you are! 
SOLDIER: ,"We need more rubble!,
 "
SOLDIER: ,"Watch out! ,
 "
SOLDIER: ,"Down to the lower levels quick! ,
 "
SOLDIER: ,"Double up men! ,
 "
GANDALF: ,"Hold them back, do not give in to fear. Stand to your posts. Fight! ,
 "
SAM: ,"Mr Frodo, look!  The King has got a crown again.  ,
 "
GOLLUM: ,"Come on, Hobbits!  Mustn�t stop now.   This way!  ,
 "
PIPPIN: ,"So I imagine this is just a ceremonial position.  ,  I mean, they don�t actually expect me to do any 
    fighting,   do they?  ,
 "
GANDALF:,"You�re in the service of the steward now.  You�ll have to do as you are 
    told Peregrin Took. "
GANDALF:,"Ridiculous Hobbit!  Guard of the Citadel! ,
 "
GANDALF: ,"Thank you.  ,
 "
PIPPIN:,"There�s no more stars!  Is it time?  ,
 "
GANDALF:,"Yes.,
 "
PIPPIN:," It�s so quiet.  ,
 "
GANDALF:,"It�s the deep breath before the plunge. ,
 "
PIPPIN:,"I don�t want to be in a battle.  But waiting on the edge of one I can�t 
    escape is even worse. , Is 
    there any hope Gandalf, for Frodo and Sam?  ,
 "
GANDALF: ,"There never was much hope.  Just a fool�s hope.  , Our enemy is ready.  
    His full strength�s gathered.   Not only orcs, but men as well
    ,  Legions of Haradrim from 
    the South, mercenaries from the coast , 
    All will answer Mordor�s call.  "
CAPTAIN:,"Come on!,
 "
GANDALF:,"This will be the end of Gondor as we know it.    Here the hammer stroke 
    will fall hardest.  ,  If the river is taken, if the garrison at Osgiliath 
    falls, the last defence of this city will be gone. ,
 "
GIMLI:," Hmmmm,
 "
LEGOLAS:  ," Have you learnt nothing of the stubbornness of 
    dwarves?  ,
 "
GIMLI: ,"You might as well accept it.  We�re going with you laddie.  Aragorn 
    smiles.,
 "
SOLDIER: ,"What�s happening, where is he going?  I don�t understand.  (, Lord Aragorn!  Why does 
    he leave on the eve of battle?  ,
 "
GAMLING:,"He leaves because there is no hope.,
 "
THEODEN: ,"He leaves because he must.  ,
 "
GAMLING: ,"To few have come.  We cannot defeat the armies of Mordor.  ,
 "
THEODEN: ," No, we cannot.  But we will meet them in battle nonetheless. 
    ,
 "
THEODEN:,"I have left instruction. , The people are to follow your rule in 
    my stead. ,
    Take up my seat in the Golden Hall. Long may you defend Edoras, if the 
    battle goes ill. ,
 "
EOWYN:,"What other duty would you have me do my lord?,
 "
THEODEN:,"Duty? , 
    no. , I 
    would have you smile again, not grieve for those whose time has come. You 
    shall live to see these days renewed , � and no more despair,
 "
THEODEN:,"Tonight we remember those who gave their blood to defend this country.,
 "
THEODEN:,"Hail the victorious dead,
 "
PEOPLE:,Hail! 
EOMER:,"No pauses, , no spills.,
 "
GIMLI:,And no regurgitation! 
FRODO:,"Why do you do that?,
 "
SAM:,"What?,
 "
FRODO:,"Call him names.
Run him down all the time.,
 "
SAM:,"Because.
Because that's what he is, Mr. Frodo.
There's naught left in him
but lies and deceit.
It's the Ring he wants.
It's all he cares about.,
 "
FRODO:,"You have no idea what it did to him......what it's still doing to him.,I want to help him, Sam.,
 "
SAM:,"Why?,
 "
FRODO:,"Because I have to believe
he can come back.,
 "
SAM:,"
You can't save him, Mr. Frodo.,
 "
FRODO:,"
What do you know about it?
Nothing! ,I'm sorry, Sam. I don't know
why I said that.,
 "
SAM:,"I do. ,It's the Ring.
You can't take your eyes off it.
I've seen you.
You're not eating. You barely sleep. ,It's taken hold of you, Mr. Frodo. You have to fight it.,
 "
FRODO:,"I know what I have to do, Sam.
The Ring was entrusted to me.
It's my task.
Mine! My own!,
 "
SAM:,"Can't you hear yourself?
Don't you know who you sound like? ,
 "
FRODO:,"No Sam!  It�s you!  ,  
    I�m sorry Sam.  ,
 "
SAM:  ,"  But he�s a liar!  He�s poisoned 
    you against me.  ,
 "
FRODO: ,"You can�t help me any more.  ,
 "
SAM: ,"You don�t mean that.  ,
 "
FRODO: ,"Go home.  ,
 "
GANDALF: ,"  Faramir!  Faramir! 
    , Your 
    father�s will has turned to madness.  Do not throw away your life so 
    rashly.  ,
 "
FARAMIR: ,"Where does my allegiance lie if not here?  This is the city of the men 
    of N�menor.  I will gladly give my life to defend her beauty, her memory, 
    her wisdom.,
 "
GANDALF:,"Your father loves you Faramir.  ,  He will remember it before the end.  ,
 "
DENETHOR:,"Can you sing Master Hobbit?,
 "
PIPPIN: ," well, yes.  At least well 
    enough for my own people.  But we have no songs for great halls and evil 
    times.,
 "
DENETHOR: ,"And why should your songs be unfit for my halls?  Come, sing me a song. 
    ,
 "
PIPPIN:,"Home is behind, The world ahead, ,  And 
    there are many paths to tread, Through shadow, to the edge of night
    ,  
    Until the stars are all alight. ,  Mist and shadow 
    cloud and shade, All shall fade, All shall , �fade. 
    ,
 "
GOLLUM:  ,"Careful master!  Careful.   Very far to fall.  Very dangerous are the 
    stairs.  ,
 "
GOLLUM:,"Come master.  ,
 "
GOLLUM:,"Come to Smeagol.,
 "
SAM:,"Mr Frodo!  , Get back 
    you!  Don�t touch him.  ,
 "
GOLLUM: ,"Why does he hates poor Smeagol?  What has Smeagol ever done to him?  
    Master?  ,Master carries a heavy 
    burden Smeagol knows, heavy heavy burden.  Fat one cannot know.  ,  He wants it.  He needs 
    it.  Smeagol sees it in his eye.  , Very soon he will ask you for it.  You 
    will see.   The fat one will take it from you!  ,
    ,
 "
WITCH KING: ,"Send forth all legions.  Do not stop the attack until the city is 
    taken.  ,
 "
WITCH KING:,"Slay them all!,
 "
GOTHMOG:,"What of the wizard?,
 "
WITCH KING:," I will break him. ,
 "
SOLDIER 1:,"Where are Theoden�s riders?,
 "
SOLDIER 2:,"Will Rohan�s army come?  Mithrandir?,
 "
GANDALF: ,"Courage is the best defence that you have now.  ,
 "
EOWYN: ,"Just to the encampment.  It�s tradition for the women of the court to 
    farewell the men.  , 
    ,
    The men have found their captain.  They will follow you into battle.  Even 
    to death.  You have given us hope.  "
MERRY:,"Excuse me!  , I have 
    a sword.  Please accept it!  , I offer you my service Theoden King.,
 "
THEODEN: ,"And gladly, I accept it.  ,  
    You shall be Meriadoc, esquire of Rohan.  "
GIMLI: ,"Horse men!  I wish I could muster an army of Dwarves, fully armed and 
    filthy.  ,
 "
LEGOLAS:,"Your kinsmen may have no need to ride to war.  I fear war already 
    marches on their own lands. ,
 "
THEODEN:,  
EOMER:," Now is the hour, 
    Riders of Rohan.  Oaths you have taken.  Now fulfil them all, to Lord and 
    Land!  Hah!,
 "
GANDALF:,"Not at the towers! Aim for the trolls, kill the trolls!,
 "
GANDALF:,"Bring them down! ,
 "
GANDALF:,"Fight them back! ,Peregrin Took! Go back to the Citadel.,
 "
PIPPIN:,"They called us out to fight. ,
 "
GANDALF: ,"This is no place for a Hobbit! ,
 "
GANDALF:,"Guard of the Citadel indeed! , Now back up the hill 
    quickly. Quick! ,
 "
GOTHMOG:,"What are you doing you useless scum? ,
 "
ORC:,"The door wont give. It�s too strong. ,
 "
GOTHMOG:,"Get back there and smash it down!,
 "
ORC: ,"But nothing can breach it! ,
 "
GOTHMOG:,"Grond will breach it! , Bring out the wolf�s head.,
 "
ORCS: ,"Grond, Grond, Grond, Grond, 
    Grond!,
 "
ORCS: ,"Grond, Grond, Grond, Grond! ,
 "
PIPPIN: ,"But we have the white wizard.  That�s got to count for something. 
    ,
 "
PIPPIN: ,"Gandalf?,
 "
GANDALF:,"Sauron has yet to show his deadliest servant. ,
    ,  ,
    The one who will lead Mordor�s army in war.  , The one they say no living man can kill.
    , ,
    The Witch King of Angmar. You�ve met him before.  ,  ,
    He stabbed Frodo on Weathertop. , ,
    He is the lord of the Nazg�l.  The greatest of the nine.,
 "
GOLLUM: ,"The Dead City!  Very nasty place full of enemies.,
 "
GOLLUM: ,"Quick, quick!  They will see, they will see!,
 "
GOLLUM: ,"Come away, come away.  Look we have found it.  The way into Mordor.,
 "
GOLLUM:,"The secret stair.  Climb.,
 "
SAM:,"No!  Mr Frodo,
 "
GOLLUM: ,"Not that way!,
 "
GOLLUM: ,"Whats it doing?,
 "
SAM:,"No!,
 "
FRODO: ,"They�re calling me.,
 "
SAM: ," No!,
 "
GOLLUM:,"Hide, hide!  ,
 "
DEAGOL:,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!
    "
SMEAGOL:,"Pull it in! Go on, go on, go on, pull it in! ,
 "
DEAGOL:,Arrghh! 
SMEAGOL:,"Deagol! ,
 "
SMEAGOL: ,"Deagol! ,
 "
LEGOLAS:,"So� it�s a drinking game?,
 "
ROHIRRIM:,"Aye! ,
 "
GIMLI:,"Last one standing wins heh heh heh!,
 "
GENERAL SHOUT:,"Lets drink to Victory! To Victory!,
 "
EOWYN:,"West� Aragorn, hal,
 "
THEODEN:,"I am very happy for you. He is an honourable man.,
 "
EOWYN:,"You are both honourable men. ,
 "
THEODEN:,"It was not Theoden of Rohan who led our people to victory.,
 "
THEODEN:,"Ach, don�t listen to me. You are young and tonight is for you.,
 "
GIMLI:,"Heh heh heh heh ,Here, here. , Raaar it�s the dwarves that go swimming with little, hairy 
women haha ,
 "
LEGOLAS: ,"I feel something. , 
A slight tingle in my fingers. I think it�s affecting me. ,
 "
GIMLI:,"heh heh heh , what did I say? He can�t hold his 
liquor. ,
 "
LEGOLAS:,"Game over!,
 "
MERRY and PIPPIN:,"Oh you can search far and wide, You can drink the whole town dry,
    , ,
    But you�ll never find a beer so brown, But you�ll never find a beer so 
    brown, ,
    As the one we drink in our hometown, As the one we drink in our hometown.,
    ,You can drink your fancy ales, You can drink them by the flagon ,
    ,
    ,
    But the only brew for the brave and true, ,
    "
MERRY:,"Pippin! ,
 "
ORCS: ,"March, march!   March, march march!  ,
 "
FRODO:,"I can feel his blade.  , 
    ,
 "
GANDALF:,"We come to it at last.  ,The great battle of our time.  ,
 "
GOLLUM: ,"Come away Hobbits.  We climb.  We must climb.  ,
 "
GANDALF: ,"The board is set, the pieces are moving.,
 "
GOLLUM:,"Up, up, up the stairs we go.  And then it�s into the tunnel.,
 "
SAM: ,"Hey,  what�s in this tunnel?  ,  
    You listen to me!  You listen good and proper.  Anything happens to him, 
    you�ll have me to answer to.   One sniff that something�s not right, one 
    hair that stands up on the back of my neck, its over.  No more slinker, no 
    more stinker.  ,  You�re 
    gone.  Got it?  I�m watching you.  ,
 "
FRODO:,"What was that about?  ,
 "
SAM:,"Nothing.  Just clearing something up. ,
 "
SMEAGOL:,"Deagol! ,
 "
SMEAGOL:,"Give us that! Deagol my love ,
 "
DEAGOL:,"Why? ,
 "
SMEAGOL:,"Because� , it�s my birthday and I 
wants it. ,
 "
SMEAGOL:," My precious. ,
 "
SMEAGOL: ,"They cursed us,
 "
(GOLLUM: ,"Murderer),
 "
SMEAGOL: ,"�Murderer� they called us. They cursed us and drove us away.
    "
SMEAGOL:,"Gollum� Gollum� Gollum� , and we wept 
precious. We wept to be so alone. ,
 "
SMEAGOL:,"and cool, so nice for feet� and we only wish to catch a fish
    , so juicy sweet. ,
 "
SMEAGOL:,"And we forgot the taste of bread, the sound of trees and the softness of 
    the wind. We even forgot our own name. ,
 "
GOLLUM:,"My precious!,
    "
GOLLUM:,"Wake up! , Wake up! 
    ,Wake up sleepies! We 
must go, yes, we must go at once. ,
 "
SAM:,"Haven�t you had any sleep Mr Frodo? ,
 "
MERRY and PIPPIN:,"Comes from the Green Dragon!,
 "
MERRY:," Thank you! I win!,
 "
ARAGORN:," No news of Frodo?,
 "
GANDALF:,"No word. Nothing.,
 "
ARAGORN:,"We have time. Every day Frodo moves closer to Mordor.,
 "
GANDALF:," Do we know that?,
 "
ARAGORN:," What does your 
    heart tell you?,
 "
GANDALF:," That Frodo is alive. 
    Yes� yes he�s alive. ,
 "
GOLLUM:,"Too risky. Too risky. ,Thieves. They stole it from us. Kill them, kill them, kill them both!
    , ,
 "
SMEAGOL:,"No!,
 "
GOLLUM:,"Sshh, quiet, mustn�t wake them. Mustn�t ruin it now. 
    ,
 "
SMEAGOL:,"But they knows, , 
    they knows, they suspects us!,
 "
GOLLUM:,"What�s it saying my precious, my love? Is Smeagol losing his nerve?,
 "
SMEAGOL:,"No! No! Never! Smeagol hates nasty Hobbitses. Smeagol wants to see 
them�. Dead!,
 "
GOLLUM:,"And we will! Smeagol did it once, he can do it again! 
    , ,
    Its ours! Ours!,
 "
SMEAGOL:,"We must get the precious! We must get it back!,
 "
SAM: ,"And I�ve gone and had too much. , 
It must be getting late. ,
 "
FRODO:,"No, it isn�t. It isn�t midday yet. , The days are 
growing darker. ,
 "
GOLLUM:,"Come on! Must go! No time! ,
 "
SAM:,"Not before Mr Frodo�s had something to eat. ,
 "
GOLLUM: ,"No time to lose silly! ,
 "
SAM:,"Here.,
 "
FRODO:,"What about you? ,
 "
SAM:,"Oh no, I�m not hungry, leastways not for lembas bread. ,
 "
FRODO:,"Sam! ,
 "
SAM: ,"Oh alright, but we don�t have that much left. We have to be careful or 
    we are going to run out. You go ahead and eat that Mr Frodo. I�ve rationed 
    it, there should be enough. ,
 "
GOLLUM:,"Patience! Patience my love! First we must lead them to her!,
 "
SMEAGOL: ,"We lead them to the winding stair.,
 "
GOLLUM:,"Yes, the stairs and then?,
 "
SMEAGOL:,"Up, up, up the stairs we go until we come to the tunnel.,
 "
GOLLUM:,"And when they go in, there�s no coming out. She�s always hungry. She 
    always needs to� feed. She must eat. All she gets is filthy Orcses.,
 "
SMEAGOL:,"And they doesn�t taste very nice, does they Precious?,
 "
GOLLUM: ,"No, not very nice at all, my love. She hungers for sweeter meats.
    , ,
    Hobbit meat. And when she throws away the bones and the empty clothes ,
    , then we will find it.,
 "
SMEAGOL:,"And take it for Meee!,
 "
GOLLUM:,"For us.,
 "
SMEAGOL: ,"Yes, we meant for us! Gollum, gollum. The precious will be ours once 
the Hobbitses are dead! "
SAM: ,"You treacherous little toad! ,
 "
GOLLUM:,"No, no! Master!,
 "
FRODO:,"No Sam! Leave him alone! ,
 "
SAM:,"I heard it from his own mouth. He means to murder us.,
 "
GOLLUM: ,"Never! Smeagol wouldn�t hurt a fly! , ,
    Aaaagh he is a horrid, fat Hobbit who hates Smeagol and who makes 
up nasty lies!,
 "
FRODO: ,"For what? ,
 "
SAM: ,"The journey home. ,
 "
GOLLUM: ,"Come Hobbitses, very close now. Very close to Mordor. No safe places 
here. Hurry. ,
 "
MERRY:,"It�s good. Definitely from the Shire. ,Longbottom leaf eh? ,
 "
PIPPIN:,"uhh huh , I feel 
like I�m back at the Green Dragon. ,
 "
MERRY: ,"Mmmm , Green Dragon! ,
 "
PIPPIN:,"A mug of ale in my hand. Putting my feet up on a settle after a hard 
    day�s work. ,
 "
MERRY:,"Only, , you�ve never done a hard day�s work.
    ,
 "
PIPPIN:,Ahaha! 
MERRY: ,"Welcome, my lords to Isengard! ,
 "
GIMLI:,"You young rascals. A merry hunt you�ve led us on and now we find you 
    feasting and � and smoking! ,
 "
PIPPIN:," We are sitting on a field of 
    victory enjoying a few well earned comforts , The salted pork is particularly good. ,
 "
GIMLI:,"Salted pork� ,
 "
GANDALF: ,"Hobbits! ,
 "
MERRY: ,"We�re under orders from Treebeard who�s taken over management of 
Isengard.
    ,
    "
SAM:,"You miserable little maggot! I�ll stove your head in! ,
 "
FRODO:,"Sam!,
 "
SAM: ,"Call me a liar? You�re a liar!,
 "
GOLLUM:,"Waaaah! ,
 "
FRODO:,"If you scare him off then we are lost!,
 "
SAM:,"I don�t care! I can�t do it Mr Frodo! I won�t wait around for him to 
    kill us!,
 "
FRODO:,"I�m not sending him away.,
 "
SAM: ,"You don�t see it do you? He�s a villain.,
 "
FRODO:,"We can�t do this by ourselves Sam. Not without a guide. I need you on my 
    side.,
 "
SAM:,"I�m on your side Mr Frodo,
 "
FRODO:,"I know Sam, I know. Trust me. Come Smeagol.,
 "
EOWYN:," What time is it?,
 "
EOWYN: ,"I dreamed I saw a great wave climbing over green lands and above the 
    hills. I stood upon the brink. It was utterly dark in the abyss before my 
    feet. A light shone behind me but I could not turn , ,
    I could only stand there, waiting. "
ARAGORN:,"Night changes many thoughts. Sleep Eowyn. Sleep while you can.,
 "
LEGOLAS:,"The stars are veiled. Something stirs in the East, a sleepless malice,
 , The eye of the enemy 
    is moving.,
 "
TREEBEARD:,"Hoooom, young master Gandalf, I�m glad you�ve come. Wood and water, 
    stock and stone I can master, but there is a Wizard to manage here locked in 
    his tower,
 "
ARAGORN:," , Show yourself.
    ,
 "
GANDALF: ,"Be careful. Even in defeat, Saruman is dangerous. ,
 "
GIMLI:,"Well then let�s just have his head and be done with it. ,
 "
GANDALF:,"No, we need him alive. We need him to talk. ,
 "
SARUMAN: ,"You have fought many wars and slain many men Theoden King and made 
peace afterwards. Can we not take counsel together as we once did, my old 
friend?,
Can we not have peace you and I?,
 "
THEODEN: ,"We shall have peace�. We shall have peace when you answer for the 
    burning of the Westfold and the children that lie dead there! We shall have 
peace when the lives of the soldiers whose bodies were hewn even as they lay 
dead against the gates of the Hornburg� are avenged! When you hang from a gibbet 
for the sport of your own crows� we shall have peace! ,
 "
SARUMAN:,"Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me 
guess� the key of Orthanc? Or perhaps the keys of Barad D�r itself? Along with 
the crowns of the seven Kings and the rods of the Five Wizards! ,
 "
GANDALF:,"Your treachery has already cost many lives. Thousands more are now at 
    risk. But you could save them Saruman. You were deep in the enemy�s counsel.
    ,
 "
SARUMAN: ,"So you have come here for information. I have some for you.
    ,Something festers in the heart of Middle 
Earth. Something that you have failed to see. But the great eye has seen it! 
Even now he presses his advantage. His attack will come soon. 
    , ,
    You are all going to die! But you know this don�t you Gandalf? You 
cannot think that this Ranger will ever sit upon the throne of Gondor. This 
exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him� those he 
professes to love! Tell me, what words of comfort did you give the Halfling 
before you sent him to his doom? The path that you have set him on can only lead 
to death. ,
 "
GIMLI:,"I�ve heard enough! Shoot him! Stick an arrow in his gob! ,
 "
GANDALF:,"No! Come down Saruman and your life will be spared! ,
 "
SARUMAN:,"Save your pity and your mercy. I have no use for it!
    "
MERRY:,"What are you doing?,
 "
MERRY:,"Pippin!,
 "
MERRY:," 
    Pippin!,
 "
MERRY:,"Pippin! Are you mad?,
 "
PIPPIN:,"I just want to look at it, just one more time.,
 "
MERRY:,"Put it back!,
 "
MERRY:,"Pippin! ,
 "
MERRY:,"No!,
 "
MERRY:," Pippin!,
 "
LEGOLAS:,"He is here!,
 "
SAURON:,"I see you!,
 "
MERRY: ,"Pippin!,
 "
MERRY:,"Help! Gandalf help! ,
 "
GANDALF:,"Saruman�.. your staff is broken! ,
 "
THEODEN:,"Grima! You need not follow him! You were not always as you are now. 
You were once a man of Rohan. Come down. ,
 "
SARUMAN:,"A man of Rohan? What is the house of Rohan but a thatched barn where 
brigands drink in the reek and their brats roll on the floor with the dogs? The 
victory at Helms Deep does not belong to you Theoden Horse Master. You are a 
lesser son of greater sires! ,
 "
THEODEN:,"Grima�. Come down! Be free of him! ,
 "
SARUMAN:,"Free? He will never be free!,
 "
GRIMA: ,"No! ,
 "
SARUMAN:,Get down cur! 
GRIMA:,"Ah! ,
 "
GANDALF: ,"Saruman! You were deep in the enemy�s counsel. Tell us what you 
know! ,
 "
SARUMAN:,"You withdraw your guard and I will tell you where your doom will be 
    decided. I will not be held prisoner here! ,
 "
GANDALF:,"Send word to all our allies and to every corner of Middle Earth that 
    still stands free. The enemy moves against us. We need to know where he will 
    strike. ,
 "
TREEBEARD: ,"The filth of Saruman is washing away. Trees will come back to live 
here. ,Young trees. Wild trees. ,
 "
ARAGORN:,Pippin! 
TREEBEARD:,"Bless my bark! ,
 "
GANDALF:,"Peregrin Took. I�ll take that my lad! Quickly now! ,
 "
MERRY:,"Help him!,
 "
MERRY:," Pippin!,
 "
GANDALF:,"Fool of a Took! ,
 "
GANDALF:,"No.,
 "
GANDALF:,"Look at me. ,
 "
PIPPIN:,"Gandalf, forgive me! "
GANDALF:,"Look at me! What did you see? ,
 "
PIPPIN: ,"A tree, there was a white tree in a courtyard of stone. It was dead.
    ,The city was burning.,
 "
GANDALF:,"Minas Tirith? Is that what you saw?,
 "
PIPPIN:,"I saw� I saw him! , I 
    could hear his voice in my head.,
 "
GANDALF:,"And what did you tell him? Speak!,
 "
PIPPIN:,"He asked me my name. I didn�t answer. He hurt me!,
 "
GANDALF:,"What did you tell him about Frodo and the Ring? ,
    ,
 "
GANDALF:,"There was no lie in Pippin�s eyes. A fool but an honest fool he remains.
    ,
 "
GANDALF:,"He told Sauron nothing of Frodo and the Ring. ,We�ve been strangely fortunate. Pippin saw in the Palantir a glimpse 
    of the enemy�s plan. Sauron moves to strike the city of Minas Tirith.
    "
GAN DALF:,"His defeat at Helm�s Deep showed our enemy one thing.
    , He knows the Heir of 
    Elendil has come forth , ,
    Men are not as weak as he supposed. There is courage still. Strength enough, 
    perhaps, to challenge him. Sauron fears this. He will not risk the peoples 
    of Middle Earth uniting under one banner. , He will raze Minas Tirith to the ground
    , before he 
    sees a King return to the throne of men. If the beacons of Gondor are lit 
    Rohan must be ready for war.,
 "
THEODEN:,"Tell me! Why should we ride to the aid of those who did not come to 
    ours? What do we owe Gondor?,
 "
ARAGORN:,"I will go!,
 "
GANDALF:,"No! ,
 "
ARAGORN: ,"They must be warned!,
 "
GANDALF:,"They will be. , ,
    You must come to Minas Tirith by another road. Follow the river. Look to the 
    black ships. , ,
    Understand this, things are now in motion that cannot be undone. I ride for 
    Minas Tirith , and I 
    wont be going alone.,
 "
GANDALF:,"Of all the Hobbits, Peregrin Took, you are the worst! Hurry! Hurry!,
 "
PIPPIN:,"Where are we going?,
 "
MERRY: ,"Why did you look? Why do you always have to look?,
 "
PIPPIN:,"I don�t know, I can�t help it.,
 "
MERRY:,"You never can!,
 "
PIPPIN:,"I�m sorry alright? I won�t do it again.,
 "
MERRY: ,"Don�t you understand? The enemy thinks you have the ring! He is going to 
    be looking for you Pip. They have to get you out of here.,
 "
PIPPIN:,"And you? You�re coming with me? , 
    Merry? ,
 "
MERRY:,"Come on!,
 "
PIPPIN:,"How far is Minas Tirith?,
 "
GANDALF:,"Three days ride as the Nazg�l flies. And you�d better hope we don�t have 
    one of those on our tail.,
 "
MERRY: ,"Here, something for the road. ,
 "
PIPPIN:,"The last of the Longbottom Leaf? ,
 "
MERRY: ,"I know you�ve run out. You smoke too much Pippin.,
 "
PIPPIN:,"But, we�ll see each other soon?,
 "
PIPPIN:,"Wont we?,
 "
MERRY:,I don�t know! I don�t know whats going to happen. 
PIPPIN:,"Merry? ,
 "
GANDALF:,"Run, Shadowfax show us the meaning of haste.,
 "
PIPPIN: ,"Merry!,
 "
ARAGORN:,Merry! 
